"country","project_code_in","component_code_in","section_code_in","cost_type","year","work_type","duration","length_km","cost_M_USD_per_km","rocks_wave","ccode","wb_region","inc_group","proj.component.section","project_country","project_idx","section_idx","section_code"
"Nepal","P083923","C1","S1","Estimate","2005","Upgrading",17,800,0.021,"rocks_2018","NPL","South Asia","Low income","P083923 C1 S1","Nepal P083923",3304,2212,"33042212"
"Nepal","P083923","C1","S1","Actual","2014","Upgrading",NA,1741,0.0262033314187249,"rocks_2018","NPL","South Asia","Low income","P083923 C1 S1","Nepal P083923",3304,2212,"33042212"
"Nigeria","P074963","C1","S1","Actual","2011","Asphalt Mix Resurfacing",NA,567,0.0828924162257496,"rocks_2018","NGA","Sub-Saharan Africa","Lower middle income","P074963 C1 S1","Nigeria P074963",3416,2063,"34162063"
"Nigeria","P074963","C1","S1","Estimate","2002","Asphalt Mix Resurfacing",NA,567,0.080299823633157,"rocks_2018","NGA","Sub-Saharan Africa","Lower middle income","P074963 C1 S1","Nigeria P074963",3416,2063,"34162063"
"Pakistan","P125584","C1","S1","Actual","2016","Partial Widening and Reconstruction",24,15.5,0.47741935483871,"rocks_2018","PAK","South Asia","Lower middle income","P125584 C1 S1","Pakistan P125584",3456,2373,"34562373"
"Pakistan","P125584","C1","S1","Estimate","2011","Partial Widening and Reconstruction",24,10.5,0.489523809523809,"rocks_2018","PAK","South Asia","Lower middle income","P125584 C1 S1","Pakistan P125584",3456,2373,"34562373"
"Papua New Guinea","P004397","C1","S1","Estimate","2002","Routine Maintenance",12,2200,0.00266363636363636,"rocks_2018","PNG","East Asia & Pacific","Lower middle income","P004397 C1 S1","Papua New Guinea P004397",3559,1785,"35591785"
"Papua New Guinea","P004397","C1","S1","Actual","2012","Routine Maintenance",48,1788,0.00643448230924611,"rocks_2018","PNG","East Asia & Pacific","Lower middle income","P004397 C1 S1","Papua New Guinea P004397",3559,1785,"35591785"
"Paraguay","P082026","C1","S1","Actual","2016","Strengthening",48,108,0.0506481481481481,"rocks_2018","PRY","Latin America & Caribbean","Upper middle income","P082026 C1 S1","Paraguay P082026",3595,2130,"35952130"
"Paraguay","P082026","C1","S1","Estimate","2006","Strengthening",48,108,0.0425925925925926,"rocks_2018","PRY","Latin America & Caribbean","Upper middle income","P082026 C1 S1","Paraguay P082026",3595,2130,"35952130"
"Peru","P078813","C1","S1","Actual","2014","Reconstruction",NA,1562,0.0655313700384123,"rocks_2018","PER","Latin America & Caribbean","Upper middle income","P078813 C1 S1","Peru P078813",3629,2108,"36292108"
"Peru","P078813","C1","S1","Estimate","2005","Reconstruction",NA,2200,0.05,"rocks_2018","PER","Latin America & Caribbean","Upper middle income","P078813 C1 S1","Peru P078813",3629,2108,"36292108"
"Peru","P095570","C1","S1","Estimate","2006","Reconstruction",NA,3000,0.0159,"rocks_2018","PER","Latin America & Caribbean","Upper middle income","P095570 C1 S1","Peru P095570",3630,2289,"36302289"
"Peru","P095570","C1","S1","Actual","2014","Reconstruction",NA,3277,0.0248318724443088,"rocks_2018","PER","Latin America & Caribbean","Upper middle income","P095570 C1 S1","Peru P095570",3630,2289,"36302289"
"Philippines","P039019","C1","S1","Estimate","2000","Upgrading",NA,85,0.328235294117647,"rocks_2018","PHL","East Asia & Pacific","Lower middle income","P039019 C1 S1","Philippines P039019",3677,1811,"36771811"
"Philippines","P057731","C1","S1","Estimate","2001","Reconstruction",18.5,3.69,0.317073170731707,"rocks_2018","PHL","East Asia & Pacific","Lower middle income","P057731 C1 S1","Philippines P057731",3678,1882,"36781882"
"Philippines","P057731","C1","S1","Actual","2011","Reconstruction",NA,3.69,0.303523035230352,"rocks_2018","PHL","East Asia & Pacific","Lower middle income","P057731 C1 S1","Philippines P057731",3678,1882,"36781882"
"Philippines","P039019","C1","S1","Actual","2008","Upgrading",NA,84.8,0.274760180420558,"rocks_2018","PHL","East Asia & Pacific","Lower middle income","P039019 C1 S1","Philippines P039019",3677,1811,"36771811"
"Rwanda","P079414","C1","S1","Actual","2015","Partial Widening and Reconstruction",33,83,0.579397590361446,"rocks_2018","RWA","Sub-Saharan Africa","Low income","P079414 C1 S1","Rwanda P079414",4208,2116,"42082116"
"Rwanda","P079414","C1","S1","Estimate","2007","Partial Widening and Reconstruction",27,83,0.457831325301205,"rocks_2018","RWA","Sub-Saharan Africa","Low income","P079414 C1 S1","Rwanda P079414",4208,2116,"42082116"
"Samoa","P075523","C1","S1","Estimate","2003","Surface Treatment Resurfacing",15,32,0.0875,"rocks_2018","WSM","East Asia & Pacific","Upper middle income","P075523 C1 S1","Samoa P075523",4215,2075,"42152075"
"Samoa","P075523","C1","S1","Actual","2014","Surface Treatment Resurfacing",19,30,0.339333333333333,"rocks_2018","WSM","East Asia & Pacific","Upper middle income","P075523 C1 S1","Samoa P075523",4215,2075,"42152075"
"South Sudan","P118579","C1","S1","Estimate","2010","Routine Maintenance",NA,363,0.0213774104683196,"rocks_2018","SSD","Sub-Saharan Africa","Low income","P118579 C1 S1","South Sudan P118579",4251,2364,"42512364"
"South Sudan","P118579","C1","S1","Actual","2013","Routine Maintenance",14,308,0.0247932615909091,"rocks_2018","SSD","Sub-Saharan Africa","Low income","P118579 C1 S1","South Sudan P118579",4251,2364,"42512364"
"Sri Lanka","P107847","C1","S1","Actual","2015","Partial Widening and Reconstruction",59,117.29,0.426293801688123,"rocks_2018","LKA","South Asia","Lower middle income","P107847 C1 S1","Sri Lanka P107847",4262,2350,"42622350"
"Sri Lanka","P107847","C1","S1","Estimate","2009","Partial Widening and Reconstruction",60,150,0.235333333333333,"rocks_2018","LKA","South Asia","Lower middle income","P107847 C1 S1","Sri Lanka P107847",4262,2350,"42622350"
"Sudan","P095081","C1","S1","Estimate","2006","Upgrading",NA,250,0.08064,"rocks_2018","SDN","Sub-Saharan Africa","Lower middle income","P095081 C1 S1","Sudan P095081",4266,2278,"42662278"
"Sudan","P095081","C1","S1","Actual","2013","Upgrading",NA,170,0.173117647058824,"rocks_2018","SDN","Sub-Saharan Africa","Lower middle income","P095081 C1 S1","Sudan P095081",4266,2278,"42662278"
"Tanzania","P078387","C1","S1","Actual","2010","Upgrading",NA,115.4,0.476689774696707,"rocks_2018","TZA","Sub-Saharan Africa","Low income","P078387 C1 S1","Tanzania P078387",4293,2104,"42932104"
"Tanzania","P078387","C1","S1","Estimate","2004","Upgrading",NA,110,0.506636363636364,"rocks_2018","TZA","Sub-Saharan Africa","Low income","P078387 C1 S1","Tanzania P078387",4293,2104,"42932104"
